time,link,path,number,flag
30,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
30,N001 N012,N001 N012 N006 N010 N011 N002,49,enter link
30,N001 N012,N001 N012 N006 N010 N013 N003,26,enter link
30,N004 N005,N004 N005 N006 N010 N011 N002,8,enter link
30,N004 N005,N004 N005 N006 N010 N013 N003,8,enter link
30,N004 N009,N004 N009 N010 N011 N002,53,enter link
30,N004 N009,N004 N009 N010 N013 N003,53,enter link
31,N001 N005,N001 N005 N006 N010 N011 N002,57,enter link
31,N001 N005,N001 N005 N006 N010 N013 N003,74,enter link
31,N001 N012,N001 N012 N006 N010 N011 N002,44,enter link
31,N001 N012,N001 N012 N006 N010 N013 N003,27,enter link
31,N004 N005,N004 N005 N006 N010 N011 N002,7,enter link
31,N004 N005,N004 N005 N006 N010 N013 N003,7,enter link
31,N004 N009,N004 N009 N010 N011 N002,54,enter link
31,N004 N009,N004 N009 N010 N013 N003,54,enter link
32,N001 N005,N001 N005 N006 N010 N011 N002,61,enter link
32,N001 N005,N001 N005 N006 N010 N013 N003,65,enter link
32,N001 N012,N001 N012 N006 N010 N011 N002,40,enter link
32,N001 N012,N001 N012 N006 N010 N013 N003,36,enter link
32,N004 N005,N004 N005 N006 N010 N011 N002,3,enter link
32,N004 N005,N004 N005 N006 N010 N013 N003,3,enter link
32,N004 N009,N004 N009 N010 N011 N002,58,enter link
32,N004 N009,N004 N009 N010 N013 N003,58,enter link
33,N001 N005,N001 N005 N006 N010 N011 N002,67,enter link
33,N001 N005,N001 N005 N006 N010 N013 N003,60,enter link
33,N001 N012,N001 N012 N006 N010 N011 N002,34,enter link
33,N001 N012,N001 N012 N006 N010 N013 N003,41,enter link
33,N004 N009,N004 N009 N010 N011 N002,60,enter link
33,N004 N009,N004 N009 N010 N013 N003,60,enter link
34,N001 N005,N001 N005 N006 N010 N011 N002,59,enter link
34,N001 N005,N001 N005 N006 N010 N013 N003,51,enter link
34,N001 N012,N001 N012 N006 N010 N011 N002,42,enter link
34,N001 N012,N001 N012 N006 N010 N013 N003,50,enter link
34,N004 N009,N004 N009 N010 N011 N002,60,enter link
34,N004 N009,N004 N009 N010 N013 N003,60,enter link
35,N001 N005,N001 N005 N006 N010 N011 N002,53,enter link
35,N001 N005,N001 N005 N006 N010 N013 N003,44,enter link
35,N001 N012,N001 N012 N006 N010 N011 N002,48,enter link
35,N001 N012,N001 N012 N006 N010 N013 N003,57,enter link
35,N004 N009,N004 N009 N010 N011 N002,60,enter link
35,N004 N009,N004 N009 N010 N013 N003,61,enter link
36,N001 N005,N001 N005 N006 N010 N011 N002,50,enter link
36,N001 N005,N001 N005 N006 N010 N013 N003,45,enter link
36,N001 N012,N001 N012 N006 N010 N011 N002,51,enter link
36,N001 N012,N001 N012 N006 N010 N013 N003,56,enter link
36,N004 N009,N004 N009 N010 N011 N002,60,enter link
36,N004 N009,N004 N009 N010 N013 N003,60,enter link
37,N001 N005,N001 N005 N006 N010 N011 N002,40,enter link
37,N001 N005,N001 N005 N006 N010 N013 N003,36,enter link
37,N001 N012,N001 N012 N006 N010 N011 N002,61,enter link
37,N001 N012,N001 N012 N006 N010 N013 N003,65,enter link
37,N004 N009,N004 N009 N010 N011 N002,60,enter link
37,N004 N009,N004 N009 N010 N013 N003,60,enter link
38,N001 N005,N001 N005 N006 N010 N011 N002,41,enter link
38,N001 N005,N001 N005 N006 N010 N013 N003,36,enter link
38,N001 N012,N001 N012 N006 N010 N011 N002,60,enter link
38,N001 N012,N001 N012 N006 N010 N013 N003,65,enter link
38,N004 N009,N004 N009 N010 N011 N002,60,enter link
38,N004 N009,N004 N009 N010 N013 N003,61,enter link
39,N001 N005,N001 N005 N006 N010 N011 N002,38,enter link
39,N001 N005,N001 N005 N006 N010 N013 N003,36,enter link
39,N001 N012,N001 N012 N006 N010 N011 N002,63,enter link
39,N001 N012,N001 N012 N006 N010 N013 N003,65,enter link
39,N004 N009,N004 N009 N010 N011 N002,61,enter link
39,N004 N009,N004 N009 N010 N013 N003,60,enter link
40,N001 N005,N001 N005 N006 N010 N011 N002,38,enter link
40,N001 N005,N001 N005 N006 N010 N013 N003,41,enter link
40,N001 N012,N001 N012 N006 N010 N011 N002,63,enter link
40,N001 N012,N001 N012 N006 N010 N013 N003,60,enter link
40,N004 N009,N004 N009 N010 N011 N002,60,enter link
40,N004 N009,N004 N009 N010 N013 N003,60,enter link
41,N001 N005,N001 N005 N006 N010 N011 N002,38,enter link
41,N001 N005,N001 N005 N006 N010 N013 N003,35,enter link
41,N001 N012,N001 N012 N006 N010 N011 N002,63,enter link
41,N001 N012,N001 N012 N006 N010 N013 N003,66,enter link
41,N004 N009,N004 N009 N010 N011 N002,60,enter link
41,N004 N009,N004 N009 N010 N013 N003,60,enter link
42,N001 N005,N001 N005 N006 N010 N011 N002,44,enter link
42,N001 N005,N001 N005 N006 N010 N013 N003,34,enter link
42,N001 N012,N001 N012 N006 N010 N011 N002,57,enter link
42,N001 N012,N001 N012 N006 N010 N013 N003,67,enter link
42,N004 N009,N004 N009 N010 N011 N002,60,enter link
42,N004 N009,N004 N009 N010 N013 N003,60,enter link
43,N001 N005,N001 N005 N006 N010 N011 N002,45,enter link
43,N001 N005,N001 N005 N006 N010 N013 N003,39,enter link
43,N001 N012,N001 N012 N006 N010 N011 N002,56,enter link
43,N001 N012,N001 N012 N006 N010 N013 N003,62,enter link
43,N004 N009,N004 N009 N010 N011 N002,60,enter link
43,N004 N009,N004 N009 N010 N013 N003,60,enter link
43,N001 N005,N001 N005 N006 N010 N011 N002,74,exit link
43,N005 N006,N001 N005 N006 N010 N011 N002,74,enter link
43,N001 N005,N001 N005 N006 N010 N013 N003,76,exit link
43,N005 N006,N001 N005 N006 N010 N013 N003,76,enter link
44,N001 N005,N001 N005 N006 N010 N011 N002,48,enter link
44,N001 N005,N001 N005 N006 N010 N013 N003,47,enter link
44,N001 N012,N001 N012 N006 N010 N011 N002,53,enter link
44,N001 N012,N001 N012 N006 N010 N013 N003,54,enter link
44,N004 N009,N004 N009 N010 N011 N002,60,enter link
44,N004 N009,N004 N009 N010 N013 N003,60,enter link
44,N001 N005,N001 N005 N006 N010 N011 N002,74,exit link
44,N005 N006,N001 N005 N006 N010 N011 N002,74,enter link
44,N001 N005,N001 N005 N006 N010 N013 N003,76,exit link
44,N005 N006,N001 N005 N006 N010 N013 N003,76,enter link
45,N001 N005,N001 N005 N006 N010 N011 N002,52,enter link
45,N001 N005,N001 N005 N006 N010 N013 N003,51,enter link
45,N001 N012,N001 N012 N006 N010 N011 N002,49,enter link
45,N001 N012,N001 N012 N006 N010 N013 N003,50,enter link
45,N004 N009,N004 N009 N010 N011 N002,60,enter link
45,N004 N009,N004 N009 N010 N013 N003,60,enter link
45,N001 N005,N001 N005 N006 N010 N011 N002,74,exit link
45,N005 N006,N001 N005 N006 N010 N011 N002,74,enter link
45,N001 N005,N001 N005 N006 N010 N013 N003,76,exit link
45,N005 N006,N001 N005 N006 N010 N013 N003,76,enter link
46,N001 N005,N001 N005 N006 N010 N011 N002,53,enter link
46,N001 N005,N001 N005 N006 N010 N013 N003,53,enter link
46,N001 N012,N001 N012 N006 N010 N011 N002,48,enter link
46,N001 N012,N001 N012 N006 N010 N013 N003,48,enter link
46,N004 N009,N004 N009 N010 N011 N002,61,enter link
46,N004 N009,N004 N009 N010 N013 N003,60,enter link
46,N001 N005,N001 N005 N006 N010 N011 N002,74,exit link
46,N005 N006,N001 N005 N006 N010 N011 N002,74,enter link
46,N001 N005,N001 N005 N006 N010 N013 N003,76,exit link
46,N005 N006,N001 N005 N006 N010 N013 N003,76,enter link
47,N001 N005,N001 N005 N006 N010 N011 N002,55,enter link
47,N001 N005,N001 N005 N006 N010 N013 N003,55,enter link
47,N001 N012,N001 N012 N006 N010 N011 N002,46,enter link
47,N001 N012,N001 N012 N006 N010 N013 N003,46,enter link
47,N004 N009,N004 N009 N010 N011 N002,61,enter link
47,N004 N009,N004 N009 N010 N013 N003,60,enter link
47,N001 N005,N001 N005 N006 N010 N011 N002,74,exit link
47,N005 N006,N001 N005 N006 N010 N011 N002,74,enter link
47,N001 N005,N001 N005 N006 N010 N013 N003,76,exit link
47,N005 N006,N001 N005 N006 N010 N013 N003,76,enter link
48,N001 N005,N001 N005 N006 N010 N011 N002,60,enter link
48,N001 N005,N001 N005 N006 N010 N013 N003,61,enter link
48,N001 N012,N001 N012 N006 N010 N011 N002,41,enter link
48,N001 N012,N001 N012 N006 N010 N013 N003,40,enter link
48,N004 N009,N004 N009 N010 N011 N002,60,enter link
48,N004 N009,N004 N009 N010 N013 N003,61,enter link
48,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
48,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
48,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
48,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
49,N001 N005,N001 N005 N006 N010 N011 N002,65,enter link
49,N001 N005,N001 N005 N006 N010 N013 N003,65,enter link
49,N001 N012,N001 N012 N006 N010 N011 N002,36,enter link
49,N001 N012,N001 N012 N006 N010 N013 N003,36,enter link
49,N004 N009,N004 N009 N010 N011 N002,60,enter link
49,N004 N009,N004 N009 N010 N013 N003,60,enter link
49,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
49,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
49,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
49,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
50,N001 N005,N001 N005 N006 N010 N011 N002,70,enter link
50,N001 N005,N001 N005 N006 N010 N013 N003,72,enter link
50,N001 N012,N001 N012 N006 N010 N011 N002,31,enter link
50,N001 N012,N001 N012 N006 N010 N013 N003,29,enter link
50,N004 N009,N004 N009 N010 N011 N002,60,enter link
50,N004 N009,N004 N009 N010 N013 N003,60,enter link
50,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
50,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
50,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
50,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
51,N001 N005,N001 N005 N006 N010 N011 N002,76,enter link
51,N001 N005,N001 N005 N006 N010 N013 N003,77,enter link
51,N001 N012,N001 N012 N006 N010 N011 N002,25,enter link
51,N001 N012,N001 N012 N006 N010 N013 N003,24,enter link
51,N004 N009,N004 N009 N010 N011 N002,60,enter link
51,N004 N009,N004 N009 N010 N013 N003,60,enter link
51,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
51,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
51,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
51,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
52,N001 N005,N001 N005 N006 N010 N011 N002,79,enter link
52,N001 N005,N001 N005 N006 N010 N013 N003,81,enter link
52,N001 N012,N001 N012 N006 N010 N011 N002,22,enter link
52,N001 N012,N001 N012 N006 N010 N013 N003,20,enter link
52,N004 N009,N004 N009 N010 N011 N002,60,enter link
52,N004 N009,N004 N009 N010 N013 N003,60,enter link
52,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
52,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
52,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
52,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
53,N001 N005,N001 N005 N006 N010 N011 N002,83,enter link
53,N001 N005,N001 N005 N006 N010 N013 N003,84,enter link
53,N001 N012,N001 N012 N006 N010 N011 N002,18,enter link
53,N001 N012,N001 N012 N006 N010 N013 N003,17,enter link
53,N004 N009,N004 N009 N010 N011 N002,60,enter link
53,N004 N009,N004 N009 N010 N013 N003,60,enter link
53,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
53,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
53,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
53,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
54,N001 N005,N001 N005 N006 N010 N011 N002,84,enter link
54,N001 N005,N001 N005 N006 N010 N013 N003,85,enter link
54,N001 N012,N001 N012 N006 N010 N011 N002,17,enter link
54,N001 N012,N001 N012 N006 N010 N013 N003,16,enter link
54,N004 N009,N004 N009 N010 N011 N002,61,enter link
54,N004 N009,N004 N009 N010 N013 N003,60,enter link
54,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
54,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
54,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
54,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
55,N001 N005,N001 N005 N006 N010 N011 N002,85,enter link
55,N001 N005,N001 N005 N006 N010 N013 N003,86,enter link
55,N001 N012,N001 N012 N006 N010 N011 N002,16,enter link
55,N001 N012,N001 N012 N006 N010 N013 N003,15,enter link
55,N004 N009,N004 N009 N010 N011 N002,60,enter link
55,N004 N009,N004 N009 N010 N013 N003,60,enter link
55,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
55,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
55,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
55,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
56,N001 N005,N001 N005 N006 N010 N011 N002,85,enter link
56,N001 N005,N001 N005 N006 N010 N013 N003,86,enter link
56,N001 N012,N001 N012 N006 N010 N011 N002,16,enter link
56,N001 N012,N001 N012 N006 N010 N013 N003,15,enter link
56,N004 N009,N004 N009 N010 N011 N002,60,enter link
56,N004 N009,N004 N009 N010 N013 N003,60,enter link
56,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
56,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
56,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
56,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
57,N001 N005,N001 N005 N006 N010 N011 N002,85,enter link
57,N001 N005,N001 N005 N006 N010 N013 N003,85,enter link
57,N001 N012,N001 N012 N006 N010 N011 N002,16,enter link
57,N001 N012,N001 N012 N006 N010 N013 N003,16,enter link
57,N004 N009,N004 N009 N010 N011 N002,60,enter link
57,N004 N009,N004 N009 N010 N013 N003,60,enter link
57,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
57,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
57,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
57,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
58,N001 N005,N001 N005 N006 N010 N011 N002,84,enter link
58,N001 N005,N001 N005 N006 N010 N013 N003,85,enter link
58,N001 N012,N001 N012 N006 N010 N011 N002,17,enter link
58,N001 N012,N001 N012 N006 N010 N013 N003,16,enter link
58,N004 N009,N004 N009 N010 N011 N002,60,enter link
58,N004 N009,N004 N009 N010 N013 N003,60,enter link
58,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
58,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
58,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
58,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
59,N001 N005,N001 N005 N006 N010 N011 N002,83,enter link
59,N001 N005,N001 N005 N006 N010 N013 N003,83,enter link
59,N001 N012,N001 N012 N006 N010 N011 N002,18,enter link
59,N001 N012,N001 N012 N006 N010 N013 N003,18,enter link
59,N004 N009,N004 N009 N010 N011 N002,60,enter link
59,N004 N009,N004 N009 N010 N013 N003,60,enter link
59,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
59,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
59,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
59,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
60,N001 N005,N001 N005 N006 N010 N011 N002,81,enter link
60,N001 N005,N001 N005 N006 N010 N013 N003,82,enter link
60,N001 N012,N001 N012 N006 N010 N011 N002,20,enter link
60,N001 N012,N001 N012 N006 N010 N013 N003,19,enter link
60,N004 N009,N004 N009 N010 N011 N002,60,enter link
60,N004 N009,N004 N009 N010 N013 N003,60,enter link
60,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
60,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
60,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
60,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
61,N001 N005,N001 N005 N006 N010 N011 N002,80,enter link
61,N001 N005,N001 N005 N006 N010 N013 N003,80,enter link
61,N001 N012,N001 N012 N006 N010 N011 N002,21,enter link
61,N001 N012,N001 N012 N006 N010 N013 N003,21,enter link
61,N004 N009,N004 N009 N010 N011 N002,60,enter link
61,N004 N009,N004 N009 N010 N013 N003,60,enter link
61,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
61,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
61,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
61,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
62,N001 N005,N001 N005 N006 N010 N011 N002,78,enter link
62,N001 N005,N001 N005 N006 N010 N013 N003,79,enter link
62,N001 N012,N001 N012 N006 N010 N011 N002,23,enter link
62,N001 N012,N001 N012 N006 N010 N013 N003,22,enter link
62,N004 N009,N004 N009 N010 N011 N002,60,enter link
62,N004 N009,N004 N009 N010 N013 N003,60,enter link
62,N001 N005,N001 N005 N006 N010 N011 N002,75,exit link
62,N005 N006,N001 N005 N006 N010 N011 N002,75,enter link
62,N001 N005,N001 N005 N006 N010 N013 N003,75,exit link
62,N005 N006,N001 N005 N006 N010 N013 N003,75,enter link
63,N001 N005,N001 N005 N006 N010 N011 N002,79,enter link
63,N001 N005,N001 N005 N006 N010 N013 N003,80,enter link
63,N001 N012,N001 N012 N006 N010 N011 N002,22,enter link
63,N001 N012,N001 N012 N006 N010 N013 N003,21,enter link
63,N004 N009,N004 N009 N010 N011 N002,61,enter link
63,N004 N009,N004 N009 N010 N013 N003,60,enter link
